segment,index,x,y,yaw
1,80,10.0881,-3.8512,-1.5609
1,81,10.0896,-4.0010,-1.5609
1,82,10.0911,-4.1508,-1.5609
1,83,10.0926,-4.3007,-1.5609
1,84,10.0941,-4.4505,-1.5609
1,85,10.0955,-4.6003,-1.5609
1,86,10.0970,-4.7502,-1.5609
1,87,10.0985,-4.9000,-1.5609
1,88,10.1000,-5.0498,-1.5609
1,89,10.1015,-5.1997,-1.5609
1,90,10.1030,-5.3495,-1.5609
1,91,10.1044,-5.4993,-1.5609
1,92,10.1059,-5.6492,-1.5609
1,93,10.1074,-5.7990,-1.5609
1,94,10.1089,-5.9488,-1.5609
1,95,10.1104,-6.0987,-1.5609
1,96,10.1119,-6.2485,-1.5569
1,97,10.1140,-6.3983,-1.5538
1,98,10.1165,-6.5481,-1.5538
1,99,10.1190,-6.6980,-1.5538
1,100,10.1216,-6.8478,-1.5538
1,101,10.1241,-6.9976,-1.5538
1,102,10.1267,-7.1474,-1.5538
1,103,10.1292,-7.2972,-1.5538
1,104,10.1317,-7.4471,-1.5538
1,105,10.1343,-7.5969,-1.5538
1,106,10.1368,-7.7467,-1.5234
1,107,10.1439,-7.8963,-1.5120
1,108,10.1527,-8.0459,-1.5120
1,109,10.1615,-8.1955,-1.2928
1,110,10.2025,-8.3392,-1.0782
1,111,10.2687,-8.4625,-0.6929
1,112,10.3716,-8.5479,-1.3826
1,113,10.3997,-8.6951,-1.5132
1,114,10.4082,-8.8437,-1.6234
1,115,10.4004,-8.9933,-1.6234
1,116,10.3925,-9.1429,-2.1076
1,117,10.3327,-9.2434,-3.0342
1,118,10.1837,-9.2595,-3.0342
1,119,10.0347,-9.2755,-3.0342
1,120,9.8857,-9.2916,-3.0342
1,121,9.7368,-9.3077,-3.0342
1,122,9.5878,-9.3237,-3.0342
1,123,9.4388,-9.3398,-3.0342
1,124,9.2898,-9.3559,-3.0342
1,125,9.1409,-9.3719,-3.0342
1,126,8.9919,-9.3880,-3.0342
1,127,8.8429,-9.4041,-3.0342
1,128,8.6939,-9.4201,-3.0342
1,129,8.5450,-9.4362,-3.0342
1,130,8.3960,-9.4523,-3.0342
1,131,8.2470,-9.4683,-3.0342
1,132,8.0980,-9.4844,-3.0342
1,133,7.9490,-9.5005,-3.0574
1,134,7.7999,-9.5131,-3.1268
1,135,7.6500,-9.5153,-3.1268
1,136,7.5002,-9.5175,-3.1268
1,137,7.3504,-9.5197,-3.1268
1,138,7.2006,-9.5219,-3.1268
1,139,7.0507,-9.5241,-3.1268
1,140,6.9009,-9.5263,-3.1268
1,141,6.7511,-9.5286,-3.1268
1,142,6.6013,-9.5308,-3.1268
1,143,6.4514,-9.5330,-3.1268
1,144,6.3016,-9.5352,-3.1268
